sampleNo,locateID,bed,Loc,Facies,TypeDep,TypeClast,TypeLoc,TYPELocClast,TypeFac,psilevel,scale,area,mm^2,mm,PSI,Chain,efd1,efd2,efd3,efd4,efd5,efd6,efd7,efd8,efd9,efd10,efd11,efd12,efd13,efd14,efd15,efd16,efd17,efd18,efd19,efd20,efd21,efd22,efd23,efd24,efd25,efd26,efd27,efd28,efd29,efd30,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
O7A_2_01_1,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__1,0.000184,49887,9.201073472100000,3.42274313946,1.77515302903,760,0.7269055160394000,-6.245564772952640000,-5.990409836652870000,-8.478843141825220000,-9.572021614096660000,-10.523149948735000000,-11.411585193685000000,-12.272006287359400000,-12.842561057982600000,-13.239734282092200000,-14.694100597449500000,-14.356763625250700000,-16.200428691424700000,-14.902257146148900000,-16.097589715190100000,-17.331871984795800000,-17.030626190683400000,-16.689700401205500000,-17.342122469726700000,-18.498482146471200000,-18.432605390490300000,-18.059391856795700000,-17.990566535185600000,-17.419782253058500000,-18.573181855245200000,-18.658994464799900000,-17.839841605313300000,-18.025895974994800000,-19.071390737910100000,-18.759386352013000000,-6.33957268845353,3.8096627329949,0.955781113378443,-0.715532369251193,-0.104208742365199,0.381235632904086,0.552510344679389,0.255365087665106,-0.161522432075362,-0.0560980363845212,0.210989654257086,0.481355339973583,-0.183234448765157,0.265611936255059,-0.0108757696726018
O7A_2_01_2,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.000184,433059,79.8726657597,10.0844948604,3.33406691501,2364,0.7115863853048180,-5.056530299754220000,-5.655309176322330000,-6.014199061045850000,-6.989294853509990000,-8.595200467054130000,-8.518069917022810000,-9.255277493400930000,-9.752955981516180000,-12.201478509428100000,-10.737819117948800000,-11.107512134744000000,-11.296708342522600000,-13.207601182512000000,-12.389627226233400000,-12.457361887213800000,-13.098064333673700000,-15.908527608097600000,-13.144768429750100000,-13.868951667531100000,-16.121581650017200000,-15.039621027086800000,-14.968840132423500000,-15.189734072359100000,-15.775072440240600000,-16.582788721386000000,-15.836556996058900000,-15.426796876058600000,-16.767637800170300000,-17.790175730240500000,1.79958679141943,0.950816182827908,-0.817858655104432,-1.59802556639259,-0.435613914917541,-0.268763906899259,-0.377656248634102,0.0305258327560275,0.237742032199134,-0.00453929279382504,0.312220501349828,-0.333447766709571,0.0593971986663439,-0.575633686108226,0.928619893110631
O7A_2_01_3,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__2,0.000184,229086,42.2522323938,7.33465835177,2.87472976676,1894,0.6109145560596320,-6.767845845137370000,-5.157913172609340000,-7.836199705658180000,-8.711831376512720000,-9.401771117907940000,-10.090136678175900000,-10.064372786297200000,-11.219086481020500000,-11.429164566272100000,-12.408811189158600000,-12.489382298089900000,-14.062315865794600000,-13.521676311656700000,-14.028573922632300000,-14.290688038269800000,-14.177348802902000000,-15.522330734427400000,-15.120916722543700000,-16.636417180424500000,-16.167840303736900000,-16.510327229075200000,-17.460155425123500000,-16.554242078087100000,-18.530690073937200000,-16.936728455801800000,-19.144448279603900000,-17.319793678665000000,-19.690425611470000000,-18.027111498403500000,-1.80349308694197,1.83889027719909,1.20514398525804,0.211059748842575,0.0572258264179766,-0.644479908411601,0.630894937279441,0.158094888414754,-0.13307558193405,-0.083435555802171,0.324601029078927,0.557066097297797,0.147883873245288,0.219570439614052,0.220328805632711
O7A_2_02_1,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__5,0.000398,3502689,1393.6330864128000,42.1239689069,5.39656946792,8171,0.5821219512932130,-5.543153221336180000,-5.154503615414870000,-8.734769822421240000,-6.825502489893360000,-10.337205067738500000,-9.301343903811010000,-8.743690755194160000,-9.638329492443680000,-9.854976893466760000,-11.994883868325200000,-10.913827905340700000,-11.034422469018900000,-11.258532758693000000,-11.032099138584500000,-13.538574882132500000,-13.601097230289600000,-12.309809540142800000,-12.630026095293700000,-13.387846372196600000,-14.530572728314700000,-13.231916111717900000,-14.686294469478200000,-13.157888194938100000,-14.871837874270000000,-13.006367054523500000,-15.479474155532600000,-14.748491313036300000,-15.366151391654800000,-14.871387093247300000,2.145398098687,-0.089968321245637,0.379039977836464,1.14867992373482,-0.0947427790098673,0.738906399069974,-1.01157537458831,-0.325504319040069,-0.263500424842002,0.741297961829852,0.769854164910005,0.605352750684149,-0.256086105902216,-0.895214647996656,-0.435862425703547
O7A_2_02_2,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__4,0.000398,916345,364.59095014400000,21.5455706672,4.42931940581,4952,0.5519704770007810,-5.049096218461070000,-4.663574119130550000,-7.591336213690150000,-6.886698550648140000,-7.118768217171790000,-8.364388102916820000,-8.248707948144450000,-8.640923291676070000,-9.367169602285100000,-9.664628851241770000,-9.774231997897070000,-9.654731189305460000,-12.457848402780600000,-11.442097542780800000,-10.603046818139300000,-11.157407561212500000,-11.621963174005600000,-12.768092769828300000,-11.863585220462200000,-11.875174250372300000,-12.461744670769000000,-11.700313795440100000,-13.966034818920200000,-11.909138494231000000,-12.101305909130800000,-13.241650731525500000,-12.755458770597200000,-13.242257827106800000,-14.466588086845700000,4.59455912780886,-0.490560290356909,0.403154462950453,0.0788170673294328,0.409589268998218,-1.20775795615819,0.155007125355492,-0.518482980869464,-0.257797480040133,0.717320653106404,0.339842552494465,-0.809742436275815,-0.380354307989554,-0.16716173131957,0.0708506104572962
O7A_2_03_1,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.00023,428352,98.7346219776,11.2121730782,3.4869940149,2916,0.7076336835251280,-3.170582918442100000,-5.095781753301400000,-4.621205486719570000,-6.709080899675130000,-7.268409586567860000,-8.683215681025590000,-8.414151945252620000,-8.729790578240820000,-9.928028320315910000,-11.515139347918800000,-10.300402972886700000,-11.949651076883700000,-11.520809233058100000,-13.058650831619200000,-12.236137463221400000,-13.909357839348800000,-13.149796176652400000,-13.136114337503800000,-15.995135518468800000,-15.163801160223000000,-15.907384392565800000,-15.368373839000300000,-15.684720027811700000,-14.670344637457900000,-16.703942895072000000,-15.089535527669200000,-16.698823482997400000,-15.537563859929000000,-16.311682270514500000,3.73803656727212,2.29377211320507,0.971081210803056,-1.77687993067904,-0.615486910268624,0.127224970841016,0.159573217052097,0.480592923693545,0.507210207194061,0.135365784730552,0.706885595367634,-0.0593745876469061,-0.387932366653891,-0.488242310503005,-0.190058008730582
O7A_2_03_2,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.00023,708673,163.3482760924,14.4215631845,3.85015564479,3991,0.5679306836414060,-4.520129395831200000,-5.046270338562020000,-7.107725462187400000,-6.700250106813450000,-8.593375656482210000,-9.745799398580470000,-8.335891683114610000,-9.353744819808970000,-10.362515638526600000,-11.618144729838700000,-10.536241564409600000,-13.535998147653600000,-11.559805061450900000,-12.742241922160000000,-13.444632203507100000,-12.751454479300900000,-13.849107146432400000,-14.077733353652100000,-14.766677798899000000,-14.083945243297000000,-15.345045733020200000,-14.827373834411800000,-15.316081323278900000,-15.834249904583700000,-15.072652886929100000,-16.939231129907600000,-15.814487365570700000,-16.115954777402000000,-16.383386098759900000,1.99510410536054,1.34326571792663,1.86698733511132,-0.172037162744851,-0.58524674172914,0.284872862992106,0.0494832779253007,-0.356869046912487,0.835269450284337,0.571927970198172,0.650097319991149,1.03197835166751,-0.769614841774796,-0.113229976072153,0.340228161823613
O7A_2_03_3,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__4,0.00023,2905048,669.6100779424000,29.1988703684,4.86784065079,6690,0.6443226118679180,-6.412596726068620000,-5.684317353057160000,-7.651048963728530000,-7.968612610023820000,-7.686317542463870000,-8.229917770901010000,-8.129412855526570000,-10.247888902697700000,-11.014152450574400000,-9.994785833577260000,-12.121546679262800000,-10.532663951112900000,-11.579071892846100000,-13.337368633702400000,-11.862506505737800000,-13.822921064668000000,-12.876224553331100000,-13.168143893436000000,-12.785945687134100000,-13.243814330162000000,-14.064667127598600000,-14.073997052631400000,-14.778247373042700000,-14.386720011487800000,-15.302088960131900000,-14.885670726741600000,-15.008439500985700000,-15.667345655887400000,-14.966850270913600000,2.01139135391198,0.935749918016248,-0.790652958502491,0.0405215905411415,-0.432294403180154,-1.05314229972094,0.851228509207577,-0.487063727531647,-0.145680525075332,0.126091805664143,-1.32834397443721,-0.242222060589194,0.785733082038013,-0.951873710001198,0.0666417990983223
O7A_2_03_4,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.00023,406142,93.6152436296,10.9176293296,3.44858771619,2725,0.5760902299189300,-8.159186320596850000,-5.118259870957560000,-10.615977292495200000,-7.433233708823390000,-9.974354844031970000,-9.320199035149780000,-11.914450476913600000,-11.725033700176300000,-12.172957726148200000,-12.883096773186700000,-13.075533025401100000,-14.716305002644000000,-13.490398243476100000,-15.323843902152900000,-14.475977039506400000,-16.334982602101000000,-15.043089178638500000,-16.332284535897200000,-16.237793658262700000,-18.241637749081000000,-17.216454335512300000,-18.243237558215800000,-18.822482557477200000,-19.643918935254000000,-19.028255877040100000,-19.773093859791800000,-20.332639950002600000,-20.684930488471400000,-19.864612146645200000,-3.45679370119595,0.132782403866435,1.95220321832407,0.266628082740227,-1.55508472062907,0.0631371072391174,0.318869228155925,0.104810421204054,-0.326007514584441,0.209768898667878,-0.827330070733991,-0.0318666918717468,-0.331441272114679,0.479311806968724,0.00565937412725115
O7A_2_04_1,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.001869,67834,126.756715254,12.7040018271,3.66721111997,1259,0.5690081979855680,-5.382558548318560000,-5.687510057534110000,-6.109581221814600000,-6.077474385784890000,-7.415014187063210000,-7.390020062011540000,-8.249175121453370000,-8.663402474473770000,-8.833730322666160000,-9.040087667869290000,-10.282075039275900000,-11.026286611326900000,-10.520058464848700000,-14.842984906482800000,-12.264340624127800000,-10.549693547969700000,-11.958752998927000000,-12.076416468281600000,-12.960799557320600000,-11.567811068638100000,-12.967525117330000000,-13.180464951788400000,-13.730017553703500000,-13.516754080020800000,-13.455496619180300000,-13.675363605974400000,-14.638832074175500000,-14.315934260632200000,-14.577198042234500000,4.44527031729699,0.544397114207608,0.618713939434782,-0.814608348955291,-2.45590256832708,-0.311415673229302,1.42158376465098,-1.21190152132905,1.03474965596165,0.0691341427113502,-0.669428737438476,-0.755010121849286,0.78799790315903,-0.139845896606147,-0.513913984652017
O7A_2_04_2,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.001869,39991,74.728422321,9.75434172124,3.28604451481,1024,0.5324527121615420,-6.697945420989980000,-5.028807825324240000,-8.714120437013440000,-7.620475056629190000,-9.649258065856500000,-9.027716327804100000,-11.194564028321300000,-10.108401453331600000,-12.095504525595400000,-11.414270661028000000,-12.327218280747600000,-12.180402017620400000,-12.719657354817900000,-12.821598542084500000,-13.327914266631200000,-13.677217315339900000,-13.564814963281700000,-14.301137173414400000,-14.010237848870100000,-15.150207312056000000,-14.429593711099700000,-15.501112163184500000,-14.895243711393900000,-15.995135195901500000,-14.938896253607700000,-16.250718426448900000,-15.479100894803800000,-16.441399175847000000,-15.740386468804500000,-0.352173218130683,-0.698183300601056,0.541486314104254,0.099846548982622,0.137431210549945,0.0535164956676354,0.403458161350429,0.018003598162605,0.0699252526863574,-0.2565229569156,-0.0875713872400221,-0.0289931527671581,-0.29982058046786,-0.133732990396706,0.0711665096054355
O7A_2_04_3,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__6,0.001869,3183110,5948.0580224100000,87.0247245816,6.44335343796,8623,0.5405193214570180,-7.207295916871800000,-4.985318236728340000,-7.909263163921550000,-7.773992216199630000,-9.557242705902910000,-8.773668308297580000,-10.774219073181400000,-9.566605087499880000,-10.968253669288600000,-10.653266739485200000,-12.078413352292300000,-11.942520677237500000,-11.264709649191600000,-12.928980532719400000,-12.793859688392700000,-13.462283744969700000,-13.129909054790400000,-13.403636365925200000,-13.256520940118400000,-14.193242765269900000,-13.816836817028900000,-14.634139477674200000,-14.064112681135400000,-14.984140033132800000,-14.460205425009500000,-15.901176335010700000,-14.258070797649100000,-16.485584742829400000,-14.398330093124300000,0.855804168923428,-0.545205480030346,0.379788331467411,0.630161028896179,-0.219280798957807,0.0310484586615203,0.988025435820995,0.338056623707774,0.464826910508379,-0.48456287528589,-0.19234285138893,0.193044758263879,0.258441202558569,0.0376156149774551,-0.410110556105437
O7A_2_04_4,O7A_2,A,2,Co-genetic,Ta,TYPE I,O7A_2_Ta,O7A_2_TYPE I,Co-genetic_Ta,O7A__3,0.001869,71629,133.848169899,13.0545311255,3.70647873675,997,0.6469456268490320,-5.972125917414500000,-5.242691337967140000,-8.472552391859080000,-9.133128326446000000,-9.759926094499710000,-9.798892366859420000,-11.274036196414700000,-13.758624590078600000,-12.449067084503800000,-13.213836843644500000,-15.055564914538100000,-14.639221125317200000,-15.360184173281500000,-15.154516192657500000,-16.267731947721400000,-16.346829930656200000,-16.574808580815800000,-17.013121997140800000,-17.756230497809400000,-17.433860341952800000,-19.246473613781800000,-18.144655962211300000,-19.389474621605900000,-18.753418168255900000,-19.376306490400800000,-19.937303157807700000,-19.215112938806800000,-18.653096526324000000,-19.089827811258500000,-4.66219536997896,2.32164752469474,1.44850564464058,-1.06704546169433,0.678394363591484,-0.58241510328928,-0.00114095499677336,-0.235309942047482,-1.28298801663702,-0.368403951113306,-0.880215383473302,0.270196290008091,0.991889306448008,0.407941645650973,0.0446428904257139
O7A_3_01_1,O7A_3,A,3,Co-genetic,Tb,TYPE I,O7A_3_Tb,O7A_3_TYPE I,Co-genetic_Tb,O7A_3_4,4.135611E-03,92312,381.766522632,22.047227342,4.46252532884,2087,0.515066898545496,-5.33636283299153,-5.39247262351837,-7.05211912787514,-6.78926320639607,-8.07160265197657,-8.15255694482742,-9.71366405672953,-9.48957381299356,-10.0560543646024,-11.1737861738704,-9.88100266969468,-11.0399454975792,-10.8937193068597,-12.3199396780787,-12.6174506557822,-13.985888013349,-12.1328754899875,-13.8596681451522,-12.5376097820216,-15.506072869198,-13.1752347274416,-14.744858567801,-13.1768597167395,-14.540654040284,-13.6768712884189,-14.9660886087366,-14.6711061877709,-15.3095216950846,-15.3053091067027,3.15204667825474,0.199763251630696,0.691573765322456,0.314938239776257,-0.724919286412784,0.511907977119291,0.262985785315441,-0.684398862156337,0.0744129192980668,-0.709133575188194,0.111284738825679,-0.594267359578227,-0.528887887917934,-0.47781001407255,-0.0135875932171401
O7A_3_01_2,O7A_3,A,3,Co-genetic,Tb,TYPE I,O7A_3_Tb,O7A_3_TYPE I,Co-genetic_Tb,O7A_3_3,4.135611E-03,34991,144.709164501,13.5738509911,3.76275817582,752,0.6037997767426417,-7.65805477642773,-5.45413481137576,-9.12171097709913,-7.73854033081461,-10.0148495147814,-9.80684650436441,-10.4862591259717,-11.4593947123085,-11.2416065684566,-12.5999170995332,-12.1278434877305,-13.1829809269926,-13.0162289721032,-13.7220431163135,-14.1009474631315,-14.7532648783373,-14.667462283239,-15.5104672585344,-14.9095164288284,-16.4128512394596,-15.0042012616581,-16.5873129561533,-15.0079531155319,-16.7308995828988,-15.6120798274363,-17.3436432049635,-16.1103222083764,-17.4975298710624,-16.398049113521,-1.68529289449227,0.903510826874838,0.823609564918739,0.865865013333382,-0.825375894088814,-0.1170035551567,-0.284432801319579,-0.207758419975178,-0.193276356109186,0.0811288620026087,0.0242584005870032,0.0553265879565417,-0.00226776543585105,-0.0518450674583386,-0.00634137637410156
